Average time to generate key with 3 bits: 8ms
Average time to generate key with 4 bits: 8ms
Average time to generate key with 5 bits: 7ms
Average time to generate key with 6 bits: 7ms
Average time to generate key with 7 bits: 8ms
Average time to generate key with 8 bits: 9ms
Average time to generate key with 9 bits: 10ms
Average time to generate key with 10 bits: 11ms
Average time to generate key with 11 bits: 12ms
Average time to generate key with 12 bits: 13ms
Average time to generate key with 13 bits: 15ms
Average time to generate key with 14 bits: 16ms
Average time to generate key with 15 bits: 17ms

Average time to encrypt: 528ms and decrypt: 1123 ms for n with 64 bits
Average time to encrypt: 544ms and decrypt: 1188 ms for n with 66 bits
Average time to encrypt: 517ms and decrypt: 1195 ms for n with 68 bits
Average time to encrypt: 850ms and decrypt: 2031 ms for n with 70 bits
Average time to encrypt: 463ms and decrypt: 1162 ms for n with 72 bits
Average time to encrypt: 526ms and decrypt: 1387 ms for n with 74 bits
Average time to encrypt: 550ms and decrypt: 1367 ms for n with 76 bits
Average time to encrypt: 856ms and decrypt: 2341 ms for n with 78 bits
Average time to encrypt: 1187ms and decrypt: 3379 ms for n with 80 bits
Average time to encrypt: 651ms and decrypt: 1753 ms for n with 82 bits
Average time to encrypt: 673ms and decrypt: 2007 ms for n with 84 bits
Average time to encrypt: 706ms and decrypt: 2052 ms for n with 86 bits
Average time to encrypt: 1109ms and decrypt: 3479 ms for n with 88 bits
Average time to encrypt: 1686ms and decrypt: 5235 ms for n with 90 bits
Average time to encrypt: 798ms and decrypt: 2401 ms for n with 92 bits
Average time to encrypt: 799ms and decrypt: 2666 ms for n with 94 bits





REKONSTRUKCIJA BYTE: 16 bajtov, N = 20, K = 3, cas: 144 mikrosekund
RAZBIJANJE BIGINT: 16 bajtov, N = 20, K = 5, cas: 102 mikrosekund
REKONSTRUKCIJA BIGINT: 16 bajtov, N = 20, K = 5, cas: 46 mikrosekund
RAZBIJANJE BYTE: 16 bajtov, N = 20, K = 5, cas: 1566 mikrosekund
REKONSTRUKCIJA BYTE: 16 bajtov, N = 20, K = 5, cas: 449 mikrosekund
RAZBIJANJE BIGINT: 16 bajtov, N = 20, K = 10, cas: 151 mikrosekund
REKONSTRUKCIJA BIGINT: 16 bajtov, N = 20, K = 10, cas: 110 mikrosekund
RAZBIJANJE BYTE: 16 bajtov, N = 20, K = 10, cas: 2393 mikrosekund
REKONSTRUKCIJA BYTE: 16 bajtov, N = 20, K = 10, cas: 859 mikrosekund
RAZBIJANJE BIGINT: 17 bajtov, N = 10, K = 3, cas: 26 mikrosekund
REKONSTRUKCIJA BIGINT: 17 bajtov, N = 10, K = 3, cas: 15 mikrosekund
RAZBIJANJE BYTE: 17 bajtov, N = 10, K = 3, cas: 315 mikrosekund
REKONSTRUKCIJA BYTE: 17 bajtov, N = 10, K = 3, cas: 78 mikrosekund
RAZBIJANJE BIGINT: 17 bajtov, N = 10, K = 5, cas: 36 mikrosekund
REKONSTRUKCIJA BIGINT: 17 bajtov, N = 10, K = 5, cas: 32 mikrosekund
RAZBIJANJE BYTE: 17 bajtov, N = 10, K = 5, cas: 514 mikrosekund
REKONSTRUKCIJA BYTE: 17 bajtov, N = 10, K = 5, cas: 205 mikrosekund
RAZBIJANJE BIGINT: 17 bajtov, N = 20, K = 3, cas: 47 mikrosekund
REKONSTRUKCIJA BIGINT: 17 bajtov, N = 20, K = 3, cas: 21 mikrosekund
RAZBIJANJE BYTE: 17 bajtov, N = 20, K = 3, cas: 618 mikrosekund
REKONSTRUKCIJA BYTE: 17 bajtov, N = 20, K = 3, cas: 82 mikrosekund
RAZBIJANJE BIGINT: 17 bajtov, N = 20, K = 5, cas: 62 mikrosekund
REKONSTRUKCIJA BIGINT: 17 bajtov, N = 20, K = 5, cas: 31 mikrosekund
RAZBIJANJE BYTE: 17 bajtov, N = 20, K = 5, cas: 943 mikrosekund
REKONSTRUKCIJA BYTE: 17 bajtov, N = 20, K = 5, cas: 233 mikrosekund
RAZBIJANJE BIGINT: 17 bajtov, N = 20, K = 10, cas: 119 mikrosekund
REKONSTRUKCIJA BIGINT: 17 bajtov, N = 20, K = 10, cas: 94 mikrosekund
RAZBIJANJE BYTE: 17 bajtov, N = 20, K = 10, cas: 1865 mikrosekund
REKONSTRUKCIJA BYTE: 17 bajtov, N = 20, K = 10, cas: 716 mikrosekund
RAZBIJANJE BIGINT: 18 bajtov, N = 10, K = 3, cas: 37 mikrosekund
REKONSTRUKCIJA BIGINT: 18 bajtov, N = 10, K = 3, cas: 41 mikrosekund
RAZBIJANJE BYTE: 18 bajtov, N = 10, K = 3, cas: 546 mikrosekund
REKONSTRUKCIJA BYTE: 18 bajtov, N = 10, K = 3, cas: 135 mikrosekund
RAZBIJANJE BIGINT: 18 bajtov, N = 10, K = 5, cas: 33 mikrosekund
REKONSTRUKCIJA BIGINT: 18 bajtov, N = 10, K = 5, cas: 28 mikrosekund
RAZBIJANJE BYTE: 18 bajtov, N = 10, K = 5, cas: 518 mikrosekund
REKONSTRUKCIJA BYTE: 18 bajtov, N = 10, K = 5, cas: 204 mikrosekund
RAZBIJANJE BIGINT: 18 bajtov, N = 20, K = 3, cas: 56 mikrosekund
REKONSTRUKCIJA BIGINT: 18 bajtov, N = 20, K = 3, cas: 29 mikrosekund
RAZBIJANJE BYTE: 18 bajtov, N = 20, K = 3, cas: 798 mikrosekund
REKONSTRUKCIJA BYTE: 18 bajtov, N = 20, K = 3, cas: 104 mikrosekund
RAZBIJANJE BIGINT: 18 bajtov, N = 20, K = 5, cas: 79 mikrosekund
REKONSTRUKCIJA BIGINT: 18 bajtov, N = 20, K = 5, cas: 36 mikrosekund
RAZBIJANJE BYTE: 18 bajtov, N = 20, K = 5, cas: 1212 mikrosekund
REKONSTRUKCIJA BYTE: 18 bajtov, N = 20, K = 5, cas: 284 mikrosekund
RAZBIJANJE BIGINT: 18 bajtov, N = 20, K = 10, cas: 137 mikrosekund
REKONSTRUKCIJA BIGINT: 18 bajtov, N = 20, K = 10, cas: 98 mikrosekund
RAZBIJANJE BYTE: 18 bajtov, N = 20, K = 10, cas: 2155 mikrosekund
REKONSTRUKCIJA BYTE: 18 bajtov, N = 20, K = 10, cas: 909 mikrosekund
RAZBIJANJE BIGINT: 19 bajtov, N = 10, K = 3, cas: 24 mikrosekund
REKONSTRUKCIJA BIGINT: 19 bajtov, N = 10, K = 3, cas: 17 mikrosekund
RAZBIJANJE BYTE: 19 bajtov, N = 10, K = 3, cas: 364 mikrosekund
